gid,name,archetype,is_course_dev,n_videos,n_modules,coverage_audited,audited_through,force_coverage,frozen,notes
1209298164735103,AI for the Notre Dame Community,full_course,True,,5,full,2026-06-03,,1,"Sections Analysis/Design/Pre-Production/Production/Post-Production/Design Development; tasks 'Create Course Map Document','Finalize Modules on Course Map','M1..M5 Content Development','Build Course in Canvas','Finalize Assessments','Finalize IVQ's','QA Course Build' = full Canvas course build w/ 5 m"
1208963580488220,Responsible and Ethical AI,full_course,True,,,full,2026-06-03,,1,Course Map + 'Develop scripts for Week 1..13' + 'Filming and Graphics for week 1..13' + 'Finalize Week N Deliverable' + 'Canvas Launch' = full 13-week online course
1209213189516073,ASCEND Engineering,full_course,True,,,full,2026-06-03,,1,Course Map/Learning Objectives/Finalize Modules + 'Build Course in Canvas'-style Design Development (Finalize Assessments/IVQ's/QA Course Build); plus media RC/FC editing. Full course build
1209679644127773,Radio Systems Course,full_course,True,,,full,2026-06-03,,1,"'Create Course Map Document','Finalize Modules on Course Map','Develop Learning Objectives','Finalize Assessments','Finalize IVQ's','QA Course Build','Delivery/Handoff' = full course"
1208335647365619,Virtual Borders,full_course,True,,3,full,2026-06-03,,1,"Course Map + 'Finalize Module 1/2/3' + Production trips (Trip 1 Mexico City, Phases 1-3) + 'Launch/Post-Launch'. Full course with 3 modules"
1208255134984932,The Qur’an and the Bible (Gabriel Reynolds),full_course,True,,,full,2026-06-03,,1,"Sections 'Course Map','Coursera Site','Consutlation'; full course built on Coursera (Qur'an and the Bible / Gabriel Reynolds)"
1208335647365608,MSAN II,full_course,True,,,full,2026-06-03,,1,"Course Map + 'Finalize Course Map' + 'Finalize Course Build/QA' + 'Canvas Launch'; Post-Prod tasks 'Lecture Videos','Testimonial Videos','Intro Video'; Production 'Infographics'. Full course (MSAN II)"
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,full_course,True,,,partial,2026-06-03,,1,"Sprint name but full course-build tasks: Course Structure/Creative Treatment + media RC/FC editing + 'Finalize Course Build','QA Course Build','Delivery/Handoff'. NOTE: name='Sprint 2025' (see notes)"
1207817115500015,EIH Lab Video Series,video_series,True,6,,partial,2026-06-03,,1,"Project 'EIH Lab Video Series'; 6 sections 'Video 1: Safety Walkthrough','Video 2: Bandsaw','Video 3: Drill Press','Video 4: Belt & Disc Sander','Video 5: Scheduling','Video 6: Hand & Power Tools'. Video series of 6 lab videos"
1208981515547171,Radio Systems MVP,video_series,True,4,,full,2026-06-03,,1,"Sections Pre-Production/Production/Post-Production/Delivery; Post-Prod tasks 'NASA recompositions','Thierry VI','Frank VI','Andrew VI','Intros & Summaries'; 'Video Files Delivered to Spectrum team'. Radio Systems MVP = batch of studio video segments (4 named VI subjects), no course build"
1212343204566399,ASCEND MCOB,full_course,True,,,full,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ASCEND MCOB)
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,full_course,True,,,full,2026-06-03,,1,"Name 'Sprint 2025' but tasks 'Create Course Map','Finalize Modules','Build course in Canvas','Content Development','Finalize Assessments/IVQ's/QA Course Build' = full course. NOTE: Sprint-named (see notes)"
1207942229848224,National Education Opportunities Network (NEON),other,True,,,full,2026-06-03,,1,"Sections 'Untitled' + 'PM Time Tracking'; tasks are MOU drafting/approval ('Draft MOU','Review MOU with IIRC','Ed Equity Partnership MOU Finalized') plus single 'Course Design'/'Course Launch'. NEON = partnership/program-setup engagement, not a build"
1211653962736510,Business for Humans | Sheedy Family Program,full_course,True,,,full,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA/Delivery'. Full course (Business for Humans)
1207967599155608,Online Pedagogy Course,full_course,True,,,partial,2026-06-03,,1,"Sections 'Course Planning','Course Design','Course Development','QA','Media'; tasks 'Course map','Create Course Syllabus','Develop Canvas Site','Launch Canvas Site'. Full course (Online Pedagogy)"
1208878713359040,3D Environments Summer Online,full_course,True,,8,full,2026-06-03,,1,Course Map + 'Finalize Module 1..8' + 'Module 1..8 Develop Assessments/Instructional Material' + 'Canvas Launch'. Full 8-module course (3D Environments Summer Online)
1208622917750063,ACE Assessment Course Redesign,course_redesign,True,,,full,2026-06-03,,1,"Project name 'ACE Assessment Course Redesign'; only Pre-Production/Production/Post-Production media sections (scripting, filming, RC/FC editing) - media refresh of an existing course"
1207907772727914,ND Elevate Updates,course_redesign,True,,4,full,2026-06-03,,1,"Project name 'ND Elevate Updates'; sections 'Graphics','Videos','Canvas Build'; tasks 'Canvas Updates','Logo Updates on LMS','All Rebrand Videos','New master/M0/M1/M2/M3'. Update/rebrand of existing course (4 Canvas modules M0-M3)"
1209417479528380,Videos for Eva,single_video,True,4,,full,2026-06-03,,1,"Sections Analysis/Pre-Production/Production/Post-Production; tasks 'Production: Lectures 1 and 2','Lecture 3','Lecture 4','Editing Worksheet videos'. Media-only video deliverable (lecture set for Eva), no course build"
1207760971753716,FCTA - Physics I,full_course,True,,,full,2026-06-03,,1,"Tasks 'Finalize Course Map','Canvas site build','Delivery/Handoff' + scripting/filming/editing/animations. Full course w/ Canvas build (FCTA - Physics I)"
1211134268245785,ACE Higher Powered Learning (HPL),full_course,True,,,partial,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ACE HPL)
1208659811898324,ODL Lookbook,consult_or_studio,False,,,minimal,2026-06-03,,1,"Only 4 tasks, section 'Untitled': RC1/RC2/FC1/FC2 - a single Lookbook design deliverable. ODL Lookbook = standalone design/graphics deliverable"
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,full_course,True,,,full,2026-06-03,,1,"Name 'Sprint 2025'; tasks 'Create Course Map','Finalize Modules','XR Development','Finalize Assessments/IVQ's/Course Build/QA Course Build'. Full course with XR element. NOTE: Sprint-named (see notes)"
1208255134985064,ODL Podcast,podcast,False,,,full,2026-06-03,,1,"Project 'ODL Podcast'; sections 'Need to Book','Ready for Distribution','Released'; Released has 14 guest-named episodes (Carlo Rotella, Karen Costa, Michelle Miller, ...) + Trailer. Podcast production"
1213292120696339,NEON - POS 30022 (Poly Sci),full_course,True,,,full,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Course Build/QA Course Build/Delivery' + LD/Media/Graphics/PM hour tracking. Full course (NEON POS 30022 Poly Sci)
1211900372320318,C2D: Cybertraining for Chemical Data scientists,full_course,True,,,full,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (C2D Cybertraining)
1208878713359035,Calc I Summer Online,full_course,True,,8,full,2026-06-03,,1,Course Map + 'Finalize Module 1..8' + 'Module 1..8 Develop Assessments/Instructional Material' + 'Canvas Launch'. Full 8-module course (Calc I Summer Online)
1208255134985069,Travel Safety 101,full_course,True,,4,full,2026-06-03,,1,"Single 'Untitled' section narrative tasks: 'Review current travel course','design Modules 1 and 2','Design Modules 3 and 4','build scenario based assessments and lesson quizzes','Filming videos'. Redesign/build of Travel course = full course (4 modules). (Travel Safety 101)"
1208875960377620,Program for Inclusive Education (PIE) Video #2,single_video,True,1,,full,2026-06-03,,1,Single section 'Video 2 - Lessons From the Saints'; one PIE video deliverable (Video #2)
1208344673489500,MSAN Asset Spreadsheet,other,True,12,,partial,2026-06-03,,1,"Project 'MSAN Asset Spreadsheet'; single 'Untitled' section listing media assets: 'Module 1/2/4/6/7/9/10 Infographic' + 12 'MSAN Lecture/Interview Video' rows. This is the media asset tracking spreadsheet feeding MSAN course, not its own course build"
1207816481565083,Gen Chem Intro Video,single_video,True,1,,minimal,2026-06-03,,1,Sections Pre-Production/Production/Post-Production/Delivery; tasks Scripting/Filming/Editing/Final Cut/'In Panopto'/'On Platform'. One intro video (Gen Chem Intro Video)
